sample,sigma_bg,fix_bg,sigma_1,sigma_2,has_class1,has_class2,loss,nfev,elapsed_s,E_gap_mean,E_gap_std,relative_error
train_sample_1,0.8035810551656527,True,0.0001,12.629282303538046,True,True,3.2329682017130468,78,10.676833391189575,-0.0003315356250828847,0.03704210677041097,0.08370409950468449
train_sample_2,0.8035810551656527,True,0.0001,3.569205268514114,True,True,3.3614325945487225,69,9.83871579170227,-0.00036760881921572635,0.03777060942247472,0.08513892636052871
train_sample_3,0.8035810551656527,True,,4.999999999615123,False,True,2.628670358372295,22,3.306746482849121,-0.0001846205154065783,0.03340210117330543,0.07921286904860288
train_sample_4,0.8035810551656527,True,0.0001,,True,False,4.760761767583968,4,0.5024759769439697,0.00011796905053009226,0.044952006947714604,0.10966462054724363
eval_L1_S1,0.8035810551656527,True,0.0001,,True,False,3.5702341581435153,4,0.6125059127807617,-0.0003341386426057987,0.03892644185123439,0.08688626630861662
eval_L1_S2,0.8035810551656527,True,,3.3600145361207736,False,True,2.703148885319473,36,4.713537931442261,-0.00032179339862944555,0.033870978352067156,0.0784784832800987
eval_L1_S3,0.8035810551656527,True,0.0001,,True,False,4.865080210166694,4,0.5150043964385986,9.943613284496848e-05,0.0454418830460108,0.10905681138286472
eval_L2_S1,0.8035810551656527,True,,3.9546980993722505,False,True,2.6790179842271984,92,12.925692796707153,-0.0002792523611384123,0.03371982244451796,0.07831047995491341
eval_L2_S2,0.8035810551656527,True,0.0001,,True,False,4.401208283298207,4,0.50905442237854,4.5916178171359786e-05,0.043221324616368066,0.10320931553235649
eval_L2_S3,0.8035810551656527,True,,4.893743635603541,False,True,2.5247930095102324,34,5.217701435089111,-0.000285054867778144,0.03273473133698561,0.0769250322313348
eval_L3_S1,0.8035810551656527,True,0.0001,,True,False,5.914705232190206,4,0.6202161312103271,6.473599198121945e-05,0.050104709369608064,0.1131447906045434
eval_L3_S2,0.8035810551656527,True,0.007433811220228047,,True,False,3.777899550957276,44,6.2019641399383545,-0.00033895114691028037,0.040042575363334956,0.088193106070755
eval_L3_S3,0.8035810551656527,True,,4.928624309728651,False,True,2.8491389674497443,26,3.4794375896453857,-0.00026592207411433943,0.0347741461588107,0.08045511943611693
eval_L4_S1,0.8035810551656527,True,0.0001,4.985394609751236,True,True,3.6629232803868996,24,3.6994125843048096,-0.00016967138268938814,0.039429588739331764,0.08983335924220168
eval_L4_S2,0.8035810551656527,True,0.0001,5.007468124794709,True,True,3.3375332032216836,105,13.573897361755371,-0.00026405689847048533,0.037636953812705626,0.08585251944530667
eval_L4_S3,0.8035810551656527,True,0.04220001501160184,2.031806404807343,True,True,5.43966449224931,168,23.055785179138184,-0.0002374927444305954,0.048049968717334225,0.100969488908504
eval_L5_S1,0.8035810551656527,True,0.0001,3.7367893435812998,True,True,4.086250415214467,84,13.805222988128662,-0.00039516814517766595,0.04164427387273861,0.09149843549621706
eval_L5_S2,0.8035810551656527,True,0.0001,,True,False,4.232301046322553,4,0.758265495300293,-0.0003489194506359045,0.042382436096566126,0.09291599183175726
eval_L5_S3,0.8035810551656527,True,,5.25671483985456,False,True,2.79606330009156,74,11.36860990524292,-0.00011189469547225967,0.034449550981222356,0.08226558142620785
eval_L6_S1,0.8035810551656527,True,,37.948847387410396,False,True,2.7165649503788964,42,6.024302959442139,-7.24621890583396e-05,0.033956382310938955,0.08455689800874187
eval_L6_S2,0.8035810551656527,True,0.0001,14.776971709241396,True,True,4.267675701897073,111,15.058925151824951,-0.0001333156501711068,0.0425604225859752,0.09695089677297987
eval_L6_S3,0.8035810551656527,True,0.0001,4.9972831417328845,True,True,3.7220212837654163,48,6.668287992477417,-0.00023141691587367084,0.03974609093889642,0.0883863245578668
eval_L7_S1,0.8035810551656527,True,0.008937714592127019,16.208105157506452,True,True,5.6841371466171475,138,18.829602003097534,0.00020370483549790052,0.04911802503368547,0.11688134104812539
eval_L7_S2,0.8035810551656527,True,0.0032058316442252375,4.974772737871866,True,True,5.840681492534456,33,4.3140549659729,-9.51026013449885e-05,0.04979013760696698,0.10230949018686696
eval_L7_S3,0.8035810551656527,True,0.0001,,True,False,4.814324372287931,4,0.5194816589355469,-0.00021158984231540217,0.04520383420844268,0.09905968753934248
